,done,map layout,path length,explored,end value
0,True,1033330000330300030330003031000000013301001033010003030310301100110300100101000030030110000303003330003300011000100003110100033303030303003303000010000000000300000330000010110000003330330310333033330330033310110030301303031001030310000103033013303103310303003030003000313303000103001030000003003000000103031333030000300300333000001103310300033333000100300300000013133311003030301030130100000000000330300303331100000133030310100033030030330000003111030010033033103000033000003100100310003003300330303310000330330333033011000303001030303010030003310031001111110013003033000011003001000030030010003310030300000330330100000030100000000030113011303300010300100003000001333310013301313033000303003330111031303103100000301103030000303000300330030003000103030003300003000010130030000100100000313000300300003000030130310013300301303330003300333000300000000301033013330100301000010001303003001330331103003330000300103031331030000110301103303110003030003101303000033030101013010331011103311030100030333100033003003003031103130030031030310330011000033330330000000303301103033301003000311033030003111000001010113001030000310333310133301103000300000003100100303103010110300010333003100310333000313001000033033000330330001033013303030033010030330000013101013003033333030300001003300003300031010000033003303300300331100300303100310000030003030030300003003310001103000003000033100033300100010003000030033033303000030300003330333310303300013033000030301000000030300001030003300301033330301103101311001000001110003000011303030000303301033013000010013300003100003001300000003101033333001303333300301003031030030133301331330331003300000130010000033100000013301133033300100000110010000030310000133030333000110030010003030000000131330300100000033310000000033003031110000333300003300300030300100133001330033011300301003013330333033000003001010003300330303010330033000310103100310000001000030301010013011000013300003033030010000010033333300103033000030000031333300313003331000000001110300003013303000000000030000303330003300003000110100000110000133000030030000030000030010000010311300033300010331000000313310030003100003000033300300101003100031000003000003000010300000003303000330000131000000103300000301310010033101133000130000030101000010003303000333303103000100030001030131303303131003011000033300333310030301300000333010100030000130300010003003030301033000030330311003030330030100000003011003110003303110010000010000010100330030300010000033003103001330303133330000303103300000000030113110303033000030030310100003013003030030330333333303003330033300010303003003010303003133000011030101013300300030031030133003301003010130033003003033030030030031103010003333130330300000030331333003103303000303000003330303100001103303300030010001300030330003003300001330013003001330100000030300031130003303300010000101300011303003000013001300000000003030133101000103033330030003030000303300133003003330333030330301010130330300300030100010003101100100133030000000000130103301100103000010003303030003000030030330011000303013031000001301030000010303031033000000130030030031300333003130000130133100030113000303003300300001030110000310033000001033103003000003330030000003000000110333000000031000010000030100300110030131303330000331300301313131003003000000300313010333103000003033003001131113000330000013313113030013110301303030330330033031003100330003030003103000030000000330313000111330030300031030001033130333003030010303113130133030130330331100330031333003103003113303031000001100000000000010100000333303001300011000131103101103101303000010110100101013030300003103033003030030010300331000330030000030010030130011000033110003000003303001010300000003033001000030030030303003303133001000303003300330330300101300000010100103110333031300001003000303003110100001100030000110030033331011300333000001003000130010033031030000303330310000000010330010101003030301033303300010000313003030013010001303313100010311011311031331003300101030300000310100030100300103000003000103031010000110100030300000333003000000303030331101300101303001313000300330330310100013000000003000033333000300033303001113300130010001133310010300333000101130300000300013031000000,147,2818,168.0
1,True,0000011033001300310030001133303330030033303000101000303000001033000133330001300301000103000001001003103001303030000000100303030303330301013000000310003030030103000003100003103001003000001001313030303303301101130031133003313000001101300033001030001300301000301030133300000030333030000303003000310003313310001310131033003000331003130010100333010003300010131100310100030130300330000333033330303001001011000333300330333330000030300011000000330303301010130031003133300010000030330030000030330001030003031303033000030000103103000000030030010003133330001110000000300003000030000013110300000300030033003313010330000003030103000010030030030313103000331130030033310101001030303003000300033003113100101003303003100100100303000000311033003030103000003000031001001031101000000030030003300010331000030000100010000030303030110310330030001030000313100100010001033030003031030003001310003003030013000001103003031003000330030103330300303330313300330310330311030030030000003003000030103011001000011303100030333013001301003100303000003100300111030300000303001010003033130031003310130033013003300013300030133010300000030300033000003300300000103003033330303330003111300003000030300010310103333003030300033301000303003330030010301000033103013010000103003300333000003000300000131000000100003000033030010333330311103333001000010030330303010000100311313031300111000013100303103031030000301333033110101003003030130330000033003000110000003000303011000003100003301131030300030003033003111030010000303013310001333301133103301030103101303011033301310333030100000100303030100033103330330330000030311001100300000003330100003311100130300333030013000003100333003130300000311100030331003303033000300010131011000030003133331331011011003033331330000000310000333033103001130010303131303003030030001300001000303000001003001000003010033000030000030000000003300303100101300300000000330101100033100001000030300001330033001303130003031000003133300103301133010000303310300010131330003033130030303013033303000301030300030010031000003303010110000000100003033113010000011301003003301303000013001000330003000003101300013003001303000300011100300000130130313030003133013303000101001110333311300301031001000000010303000000030030313030030333330013003031001133003000003310303010303300330033300300001001310001030301033330310103010310030030100030001001133011330030033133300013000100000333100000003100000333000010330100110030030001303000300103100000330130100010031003000030101330103030013310300001310330003310011030303001000010033010011000003000000310313003030300001000013300101333001030130000033330030131030333001001030303300133333003030001013301030003030013000010033030100011300331003130113300130333300330000133033010030100333031030003300001003030333033100010330033000000031031301130010000001300130030001033001313331003000313030130300003100000000330000001030000130001300033100330300330030013000101000000013301100311000113010333300003303001100330303030003000011100000000330103300000031000331000303131000101330330333001033000003000003313301100300001033103330030333300000003030110311010301113101300010030130003310030103001330300333003000031033303100003101000300330303000000000003000000031333100303131100000003000103000303003300133111030030100003330003100000010003300030000310001033300130000000300330300301000033000030000003113330110003300300003031033131131003333000000003000000031330330003001001003033100000000030300030133003330010001300300303003003300330001000313000303000033033303103030033301000000030303000110001330300030133033000003003003000030030100100330033031000330303010100003310300010000000003300100300100330013030033000000010330303331300303330031033003000330003000000301030010133300011331003300030330010030010000030313000303000313300001001333033100300003313000333000033300000000001300033100303003300033033000100003330030010100010000033011333300013001031000030003030330300000333303301003000303030003310300010303300030003000100303113000030101330011030033030100110301000303030003301333330000000113003033303000100110113130033000000100000133303000001001003010330033130003030010003110130031300000310033131030003330013011030000313010300300030313333000,151,2910,171.0
2,True,0000000131033331133003333030101301100331100300010003101330130033303033300000013303000100110110000000030000331030030303303003300031000001000330003110313033303311330103330033011013030000300330310330030130300010000000030010013103003000300000011000303001001010310030030003100030110003030303013300003010310130000113010033003103330003030033330331303000003030030010030000130000003300003033300330003030331333330033033030003033330311331301300031030100003310000033003100013000301300033310301110303010300300031100300003303300000003100000330030003331033130003110130000000130000030313330031300310300100300030033033030003333100303300010333301033130033001030133303030033001101333030101011031000033303130003300100331001000300000331003300303303001000003000030101303313031010000101033131033030303103300013000303301300300131001001313331001030330133000030000013300013301110030011333301000003130033010331300000000010300000000030001300103300000000100000030003010300033000303303000030010311030001003003033000030001313030300003003303330300010031033000000033033000030000103003103013030110100010301313133303001000000001013000131103300030030310030111003330011130103010100000031133300300000030030330300100310001001310133011300000003000003030133010301330030030130001300103331030033000300010000033330333003301033030310001033300333300000001000303001330313103000100003000111030001003313030130311331301030030300001030011100300100000303301001301300300013330010300001100003000003003100001030330301000103010101003100033000311000330000300010030001030000000003303000000330033030000133031103310130110300003030031100030000000100000001300333010011033010030103333030000033310131300030001303300030031033013301303000330000110000333003100003003100310301103011000300100300010303003033331300000000300033010000331100013033000000103103303030003013003013030131030000010033000000000103000031303300000330000133030103130030003300010030031030103001000000010000003010310000001003333000001033313103000010303100003010003300010310003303000313000033301030030330031001310003013000100033003000000000100001310000330330000010033000010300030001301033000101330300001000000130030300310303013133000000303003030330333330000130030033330110001300103300113030010100310303003013000003110300000030100030030330300300000001300000303033003000300333300001010033300010303033300030030300333330003330303013010003033003033030033103330330001003033110301333000000131100330003000003030010000330030003001003000031001001100310001100103000003003103000000001030003030000000001311330101013300130333003101000030003033030131000303303300000301030003300003001300030330001003330000331030010330130300100030330000030000033133001300000030001013031301303003000030003003301003013100000331110003000000000100330300333003333033133310003100030030333030131001033033000301000300010000301100033033031103100003303030300003003000010011301030003330101111303310100331310001303330300113100010300031001000031300000003033330000331003003100330001133000000030100303000033313100033000010130003003030300330301010003000000003310001011333000333303103300003331330000030030011003000003003331333310300130000010000303010000031100003330000000000000100100033133010030003003013031300030300333333300000300100013103000110300330030331100000330300031133100030101300010000333300103030030000000310003113330133331130003103303000033000003303031003000310030001000000000330003003030000301001133133300000303131130303313030130000130333030000000030031000330303000330000003003330300100331031130103100001003100100010103110000003000000000313300010003000333030031100000003303001303110330000001031330303300133003013033003011330130330030130300100000001110130030000000311300003000001300333300103300031130000301133100031311031001330313303300300001030301330303003000130301011033300300001000300311100003013033001003311000103100031300000100330330303013003010030100300030001030100001310003313011101013031103003000310001010033010000013030000003100330001000300100103103300003331003101300001003000101300000030010000000303030300030000330000330101100113330031013330003303130003030003100001333010000330130110030030300333010001303333033013003101003030000,153,2992,176.0
3,True,3030330000000331003000001330013310011110000303001100130030000303330010300100031000113301031001030103010300003003000003300000331310300003103103303100003333130330330000303103013300031100333013300311030130000333100331003030333000310000030100000030010330000030000100000003000030300300000330103310301310303030103003030301013303003000331103000000303013311030030331031000030300030300131131301003330003000033303030333031010133003300330000000033010330100330001301011113101100000000013003003000030030103030333330000330303330013301030000310133133103333310000133330300013030003030030033131033313100003003310310133003300033133133000003300001030330000010013033000300333000310303103000303003000310003100300030030003301003000003000000031030300100131101000000033333031130000000000000030300130001003301030000000030330001001333003100330033000133033010310030003001000333001330000333331133300100000000301010330133103131000313013030000030300000313000100300110333001301033303300013003033030000013030003000000010103300003030000330000333003330330010133030300033001310003030300333003000000310000030103310001000101030033011300300031301010000000310030001003301000330110310031000000100000000033000000333001030000333310003010000001003010000100030000303303003100303310330000001001003303003301110000313001000133303313000010030000000100000301130303001300030003300000030000030313003333300010000030130000001330300033001111000333301030000330030013303113130030130030031303303000331100003011300001300000310301000013303000310033001030330100033010130100100000033110300103030330131330300000303130000301003003000010033100001030010300130030001130001003133000001300010113030300033000100003003330031130100003030000103030000030330033000103333003031130031033333300301000000030301030113001000300000133310000000030100010001033003101333310003300003033103013013110030100030030000100301030333101330310030003033300331333100000300033003100001331300003001003003000030013003000011100003003003103130313010033103133000010300030300300300033010313101300000000103013100313303100003030300030011033001030330310300310100000330033001103000013000000000000130300001300001003303100001003010000333100330033301100003103330030310300003300030003330010000013111030300000003000330103300300010100000000003030013333100030330000000030000013000301330330311031111300303003100000030003330000000300301103001310330001300301000003000333330101003300330030303000000013303000003101010303000300000033030010000001303013130303003030100303313111131031333330100300311100003001310030031030003003000330000131030030011031030000100013100330330030001030300330100030030000300000000300303001303010030001330013031000000003010013003113330101300000010033033330330303000313100113031310300310333031310301003100000030000000100000100003003330301010003000010100301003033330330003300010000030130101000333000133133130303003003000103030300000330003030000300103310100000100101003030110003333300003300000111300010000000030000003003030030030030000001333113003300030030330030303000330313030311030030301303103031100100031301000103003030003333100030010030313303330000030333333030000100013130033300000003030003030000000030100310000000313300300010001001100001003330003301303300101001130003000330303030330313000130030033001100003300300030310100310310003300301333311010031003000011003033010000030303003001330300000030001310013111303003010130013000001013331010033300003010000000300110003003101000010031333330010001003300300003033300330333001330033301301003000103000031013300333303330013110303033013003313100000031030303130003031331003030300000003133000010001033311300133130330030100001133031130333003000300033130330033133100010330000000301311110000013003101101103001300300000000003333030001300031303033033301030300003100101033030100030000300031000000000003030003110131000300000010103000110301000110133030000030300313003103330003003301011000010300100310001031003100013300000330130030003000030013000033001303303300000103111303033313133001310100000000300103303003030031010000330013003130300001101110330301300000003100001003003303000303303300001000033010103010013301013111003301033010303333100013301303333000300030030000,147,3080,174.0
4,True,0110130003010000330030000010000000300333101000330300133033110333313331303033010003303030000100010000331331033010131303333303031001030010000303003330030331000003100300330301000333300033010003000000100003131000300003100030100300133101000000100030330300011301000313013000000003000100333001030300030303000303130031110003000000100303000003003030013330000000001300103030300010330001010013331001103003030000001010003000313010300301000000101030003003110300000031300030000030300030131000130003300000000300300330103330003000313110310000101030331010103000001003133300100130003001303303330303103100011010001333010031000103031030330001000330100003330313301303300013000301030300030000003003031003300010030003030303301000311331300301330003030310303300031030100303300000033000003000001010003030130000000333103001100031003030000000003303101330103300303100313000101000033100003013133013000103010031003100133300003000030333030313300331130330303000013003300000130103300033100000310100030010010310031130330333001000003000000000300031130001033300000000000000100111310003001030030010013100000300133001033313033013110000301003003030010001001131310303000303130111030030333003000030333303000010000033010033033300010103100001110033130001001030330000031003030030001303003133333330313100300303010333330300330103030303303001333003310100303333101100311103001131010103031303303003313330033030100030010300330001031313013300300131133310030033303001000000013030000001330113330301000001103000301030103003013301300133300000003300300330303000300300033300300030001013101031000301301301003033001300100303330131000013030100111001001103030030130300103003301030001030001300000000003300300300033003110000001033010313303003100303300310003003010000333333133003003033000000003000011301031310100000333030100000100100010030130000000003113001003010031010300000010013000000301100000100030030003000303300011030003001131000130133100300130300310300031310033101030000330033031003000010333000313010031030001131303303010030130033300000030003003033000001300033300301310031030310003003000100300331300000000303333300000310310030000330003003033013010000300030030003033000310033000000031300000031303130100030030303003113033313131000130300003303330310333003000330300310000000300330001333030310100301033030000030300010000003300103103000030033030010030310000011031100030330001010013031030031100003013000130003303330001300330330131003003010003030300003031031000103000000013000003003300001313300030033013330303003110100030310103013330000003330303033000033000100001300000003300000003030310333110033110000010030013000030030000030331030013103003003333330000300100003313033330030001030033100000113030100031100300303013010300301010030303000301303310030300030031000010300033131013000000300013133031303000030030110003303300130030000003010330000301330300301001001330030030130000001103000003033303133000110330030000001000001300001000101000030000313003013003001000003033000000100300013310000000000003303301130010000313000300003100300003001000000030030000033300000033103000030131000303130110030000000000003000010333010013300003011000000033303000013010113330303331030300113300030001010033001100033300000330003000330030133130103030310000000001000133300330300333311130033003330003003000333303030300000300103000003000311303033000300033303133003100003300001100010003303003013300303300111331133001000330310330001000030000000330303003030000311113000300000301103000100000130033030030000001300000000030000303331000300100010131003003003103003330311003000313000030003011000111100311103303113130330313330033303013333000103030033001101003000030303101100000110313000000303100030001301330103001000133031300000010010330013003131130300010010303000331003000031030330001030003001330011000101313000303030000310300030010131000330030103010030033030103330013033031003003333300031300000100300100303000000000001003031103010103330003033003300013003033300033031333330333310003013000300303010100330003300300003000330013033010100301000333311303033130030000033000130300133103001010003003330103331301030030003303000130031303010313030003010133303000010130000001031101033311010013003000030000313033001333330,149,3025,176.0
5,True,3330010030003030003031300000100100000111330031310100003003000030310300030330331300300313300330000331033030000331030033000300003301130030030000030033333330103300130331300300103033033030000100310030333330101030000001100033000330010300103110013010130310300313103310000030003000300100013013030003130000303300103301000031300300130033100030130003100010300110003130000113330330003330001300000101030030130013110101113313300001011000330000000003003310011003300303030000030000000003333000133030300000301310011303010031001300301330030331030313000330303000301001100300103001333303000300310100031000000333001000010003303000033033010030330011103010000333030000030000330300000000301303300300303001030300000010300000033030100300000010010331030000003311300300303331001003030030000031001303300000030313033003101000311001130100303000031010010001000000333033000000010330110300303030303300330003300003103313010000003000330301303003300103003003110000300301333000003100130031010303130301000003031300303330300110310333311300300030000101313330003031303033011033003300001311303300130303003310030103310003001003100033010000000001000033003001330331000030310300011010300001003003333100303333031000130300333031100301300033031110300000031133300000003300313000003013300000000130001003003001111000331300001000310003000000030003030001030000303030003003000031000101113130333333330130010303100033003001103313113301303010003100010003300300101113100000033000003001000333110300000030033003000101000000003301013030000000300001003030000100000000103101003000100000130330303303003010303000303303310003001300030003300031001000111000103003330103303013100003333000331000001003100313030030303001330003003030100333301130031003330000013013330030103300110003000330300130000310303333000130033003130000310003030000101300001033330100013001300333003033301003033003333000000030130330001001001100033003100013300033030031030331030033003003300000331030030001113000000033110013033300033301330331003100000100300003300103100033100033010331000030030301000010003130310300033030000033000003300310311010003101330000313133000030000303100330300330000133130331113010303300300000030300001001003301003030303000133100330010300000000300101330303100013303303130100300013331030100000030030033110030300013330330000310000000001033130331100103300100100030333000300300300300100303000333000313000311000003000100111001100033000030000031030330003300000000100030031011030000030300333100333030003133310000030033310003133100031030330000031000100001113001000110100033000100300300000000010000003103333000333030300000300100330101003031000033133013000000001300100300030333030000033300330001301030133000030000010010330303001033330113003000101331300003100303001303333013000300113030000013001030301130000300033010010301130000010110303030000133000310100033330003333001030300100003003333000300000013010330301110000100033010303000000001000030000333331000331030031033310001003330010303001130313013003000100003100100003330011003313333110030000000100003300030300130000333300030033030303000003110000300030033001000310303000010000330301330011013311000300101130331300033003000300001003031031033031300000310000130033100301100000101031313100003030301003010010000330103330030330301303033010013311330300313000003000000033300010300003000303130030130111300000300003300000000000100030100131013030003033001310330001101003003000031303000330000301013001000000030330000330010300003303303113301003000300013001333133001101301100131000000003300010033330013300001303003131030010000300303000303330300300330313311311031333010300100003133030000313003031031000030303031303003000300300000001031333030030101330330000130000131011300303300333300000003000000130330310300030001033333110331030100001010010310100300300030300003000003000013000101313303003000010330003110311003000030000003031030330300100030000003000100103000303303330000303033003001003300331000031003000010330030000000100300300003010330013031113330030000100303000033030130010031000130333100330000011003303103100300010000313001030331033010030111003330300100030300300330331303011000303013030031133103003030000010013010133103303000310013033300100300011330031300,153,3119,180.0
6,True,3033010330333000000001101110000000010100300330000331103013030330030003030000300003000330313000030001101000100333300010030133303003330003100103300130100300130013000030010300330130033110033333033031003000000333031010103031033001003103013000310031310303000110000000001030013003100003000033310300033000030301000010300300000031003103013000301003301313000013303003303000003001000013303001330033011000033131031030333103030110310111333113001001003003303033033133003330000031003100330030100303000033003003113313030300331000003100013113030000300303003031301000000030003103033330031133300300333130110033303001300303130333101013330330333333110103300101033310030303030010000013030003301300000010300130001303333000010330030000003001003010000003330000300100003010110033000000030000330100000003301303003303103300333000000000011003030300010030330130333100003003010030030100030310001303331100301000033303030000001003001111131030300131133001000033010030330030303303003000101303030300300303301030003130301003333000331001000300013100000003300000011000000133010003330313001100000030030010001000030000001000330100033110330303000330030033300001000100003300031330000301333003030300001000000000000003031130330000000303303330310013301000300000033303000300300000100001030100030033011010103133101000300000131003310010030100100303003003330003030001030030310110033030000303300100001310003333001030301000000003133001300330030030033303010033010030000003033301003333003130000010001000000010313000000110010030333110030330011103331000130000330300103010113003300001000300003100330003003003003301001030333000301110030003103000000011000001030003030300103033031330103003100010333000333000313310310000000333303030003000000030003000010000000330330003303101300330331000003031010330031003310033300030333330331310033301010001003303003301310103303333010330010030001001010000003300333130000003003303003100130003100303330300333030131001001300000103030010330000100113003300000333303100300300010333300103000130303331310030031330030030031003331331100003300330101031311000300111300303310100100033303300333000003310000300000100000331030100033303333003030013333330310000303000103310003031130300300000000010100003300330000000300300000100000033130333030000033000000301000000300003303333103333310003001033310000000001003130013103300030010113010033000003331311000100033310000030300001030330303000300133030000130030030000010010000331033113311030301033000100010003030300130030003000100300001103033000030001303330333311001030131000010003300000300100001131130013003001001000000113313301000310100333000033003000003000003000031310033300000003330003010333003303131330000303030010301331103003033000030001130310003100300000000331003300003001000030330300330010300001000011100310030030303000100000310100001030310300010331011030031330000000300301300330330003003303300300300001301100333300000303100130311100303111300010103330033000030010101303030303000310103301033030300301300300001110000030033103010330303313103301003000000001301000100100300313300130010100030001030001013333000300033033333131033130030001003001001001130010303000030101033313000000031333000300000313033300000003333010030003000100300030300313001000001330101130131000031103103030331000001030000011000010333000000113000130110031000311330030030013300033003000030110000001010011331311300000000303010330000000100101330330003100103030333000333033033101001303330000031003033100030030130000331030030110300100303001310330001310300300333003000003130031133330031333103000103030000003300100000303333330000031330000000030003311000011100011300000000013000001013000001301033000001300101030001003000011330001301113003303100003330001000131103010003100031110001111100033000001110000003000330130000103000001303030313030300300033030330000330030010300310011030003301000003331003000000033010033003333030303331001330000113030031303310030030000330100333003311100000031003003103103033100300033000300103300030103000301100103003000000333030000013300330310333100001000103303003103300100003030003301000033030311030001030000303330303300010001003033011000030030030030000300000000130300113000030000030013011030303000033110013030010303,151,3139,179.0
7,True,3303011030030000300010330030300130000310000000000330000001011313300000300000300300000313000033310033031303313031000000130333000000300113131330333001113000030000301013000000000011301001330000030333010330303033100333330030000300303033000000000000303033300030030000003013300100300300030333313003303030003030000130101003301310001330000033033300300003000310100033000303000001003003033300011100330303000300300001033003103013310300001303300000330010013103300000003003330010030010031330030003300003300000101003003313003000030301130003000000000301000001131000000301031033133000303101000000300300330010030130001130300103100010133300100103033003013010300303030101300113003100000001313031010001001000001010000133301000333013300030003030010303000330030000303013010030033013003000100131000000311003100333331000113303330300003033001000000030000301310103331031300330130131030003001000033300111003131333113010333000330001333313030133030330031003030000001300000030000111330313310301300003033300033010010303013303100110300310331300010300333010103311103000303010000131000003000301303030013110313000001000130130031000300301003303003300300000013013000330103000010003000030010001000003333301030100030030100033000110000003003301033000313010030300003310003003103311003030003000330300001000030303330333030331001310303003031030131003011013333010000001331000010000010331000330331000133030010030030003133003330001000003011311333003131000310303000100011003001300100003000000103100033003131100010300003313013001011133130000033003301003001003100311033003000333300030300103100300003303303000130303300000100313300000033030330300300103300000000000000033103301310330000003003003003330033300000003300330131000100100010330000130333003303000000000300100100010330133000003033330330000100330003300000013300330030003301303100310000330303010010301000310003313000013130000331130010000003300000003030000300000330100310000131000001303303013310300010310310300103003000130310013330300030300303003000033010011301001100033300130030303000010000303003000010030030310300010031010001100133300001330100003100000310311033000000030001330103030000000000303300130030310010300100000030330010003310003101100313000030030301313100003010000300033003003300310110030333331110003331030310033000130000300130003303030300001003033130100010130300000133030301003031333330303100133001013303330000001003333033300000300001310003000300001300003303000033330313300111010300030300000003000301000300310000001003000003303333033300011300301000000001000003010130100131013333131001301000000000300000003103030010103000103013130000003030300000310301330001001000000033030310003003000000000330001031301033300330000001330003010300000033011003333003003030130000001301030001333311330010000330100000100101300003303001030030000310100100310013030033303100030110300033301031030333101003000100301100033130033010031003313033303031001103110030000030003003000030003000300030033030103300000000103131330313103300313100311133103000301003030010333303300003300300333130000003003030300033310003011000033110031000300310030000313003000003033003030010000330033000300003010030101013013300300013000000303300003301303000010030003000330303003030031013100330300010030003003000330111300333000030033100300003010300031010031013003033003333330000101030103300003001300003133003100000331001110000331330010010300103300300303010003333003003030003303130003130000301310033001330030000000111030000000000033030030011133010330333000103301303303003030300300103330030301033000030000331103000000000113000010030303000000011000130330130000003010110031131110000010303103333303010303300100033003003000103011010000330303033031030000030001033000301003033100030110003030330000030001303031130130000010133113000300300003113300310000300301310131000100101003003003330303330330303003310033100333030033101300013113100003300100000000300000010030001011003300330330100301000030001103300010003100030311001033100031331030301001033300000031010010301001333001331303003331130310113103103031300031030113330011330013130033000033313000030130003300003103103303330300330031000303310033303010330303130300000000003310301300100003101333030010001300301303,147,3069,173.0
8,True,3330330101033000111003100033031130000300000100000000000303000330030000003301000301300103000001013001003330301001030333330000000331000311030130330103003310333010013030031303000003130013103000000003300003313030030000300001003031000303130113010000013013300000000130013030300333013303031003330103003030001030330303010330031130300030031301030100001001301033330100300330031010003000103000330001301301030010003133033300100333303030300000030000303013330330000303100003003030033300130031300000330330333000300003001001030031030000300001031000030333030033033000030000000303003301333003311333003103000003313000033130330133330103100000001103100033110300000011000300003131013010000333033011330113001113001100033033003030003330030103030003003000003300100110000130130033031103000133310310010331330300330030110030300330300113310030100303331303130003313013003013303133001330313001310100010013000300330003303300303300001033003030313103000300001001301303001000000103010001010000003000000130310001301101300000113313303033300300003001100003103031011110001030100310333101310100033000311300133103010000003030300030103003030010133013003100133000031030003000010331100330030101010310103013000003003000031311001030003000000300130101001000300000310003001013003333103300103000010010301000000030110100030303030303000300001133300103301331000333130010100003030100300031013330010000033003000301310030030000011333301000033133300010010033133003303330000010303310010100100031300333003100333003103000100330033010000330001030303300030000003000000000000000030030103000003333103130303301101101300100000013000133010030030333331003100030000030010030130000300330301000113013010333331131000010000000010001030300303003311100300003000000133000001000030031300000010031030033330303100300000000003330330000310001103010100303003330000130301133113130010300033130030033000300000001301333010030310000010033010003000030033030013003001003000031000100301003001300133300113310030300000130033003133013000000033300330001030001333303130100001303030000000100130001100130303330300103003031003303000031013300111300000100000133030001300300000103003031003030030000131133131003010030010303000001030110300013000311330030011000030331300030330030030001300103003030003031001003030303103001000013000330030333010100003003301033033310010030000001030003103133003003003033303033301313030031101030303100303300010000300130010003001030000103000300000333000031331003300103000300030331303303031303301000033000303000130010000100000100000300330003003003333311330003000001033000001001330003003030000001300103000100000003033003030030000010310301030000100000000303000030030301333330030333000003031000310300100000310013303000300300301300110000003100000301303001030103033300003030133310003303131330010330000001333003100330033303300011100003001001300000000110100003000310001303330100000010030330000303033100130001113000003300133030030033033130000000030000330003101003033003300113333100001000030013001300010003133010030331330030001003000333303133030010103113100031303003000001301010011000000000331000000333003311310003003000011030011300000033030033303300000300000310310310330030000303000333300000033330303000001010131003011303313301303313330000110133100033010330003001333003003303101310033310001003330300100303000003000031111001000300000003000003011000000003100003000001000301100333331010000033003001030100001030101001011030303310311000313000030000000000000000133003300033330330101300301100003100030033000003300003003300103103030303330300000000300300000300300130311303000000303303001000003331003310331130100300011000333300300000303310333301300330033300003110303011110300003003001003030100033013031033103000130031000330003003013001000101000133103103000000033310033300003330030033300013330003003000000300033010000300103003303300000003301003133000303300030330300013300033000013013030003303033333003310010003300010000003000010001300313113333103300300333030030003000300103301000103003000033130111333033333000000003000303110333000000113103101100003030001300130010001003000103330311000003010303300113010003333313000330001000030300033000130030300333303000100310000010130103001010300331130310310,157,3018,170.0
9,True,3303013001010003310331100033331003000001001033000030313010003131030130033310031133313003010000000000300030333000133330030100003030300000330300303033130001030003100003030030100000031000331331130000003300031003003300003000300330333000310003130130310310033000000330330003011030300010000030331100303300003000300100103000310030003303311001000003110300300300000130303300330303001003033003333033001100000000003031000030330033001010131330000101301300000303330130111000100000010300011033103100103000300330133030330101030100331030313033330000033013030301033010010003000000113010033013033011130130010303300033000100310300000000003331103030030333010011001030333000000333003000030000300000000000130003001130000030010100000110013030003001100000013330331330001300000030311100100130003031003033010111110133010303000001300013000331300003310000003311000300003000000030300030113003013000310000031330030300003103300130330003000000013100003003030003313130301300003011013331000313010003001330000033033300033003130310301301110303003133131310310000303013130000330300031301031100030100300313003000000003333030300333333000000030000000301130300301001033130003300330300013001010003311001010003010000011100003001103010031301303000110000000003303001030033003003303033133030313010000003300000030003010300300333013101300330000003130313000313300030003300030330010031110030131301130003110000300001130030030013000000330100030303000013003330311300330333013003003000033001030030003113103013000311010003010013110010103011103130333000331010003000310300001101031001331330030000330330313310330303030030331330003030033000033300101300300330010010000030333033030030003300033001333030010110333033030030311001033001331003100010001313001000303013303030001331100000000000003003001000000010033100103300000003003301000330033000303130303000000010030013030033030001000033010031000100300301110033013030133000003110010010301003003030003000001000031000300011031031303030300300000333133013000000003300103001130313303013003301013330331131000030033000300031103301000300013000303003010011003003300100330131300100330100333003330003003000110010001300330303003010330003000013030011030000011300003000100313330313010300100310100300000300130003330303031130033010010330101300030310303033003103103003001100030003313331000330000330310000003300000103033031033031303100000003113000010301033301003103300303010101003133013000000001303300030000110010303030313003000100030303000300003000033030330001313330031330010303330303130030010030330001001101303010033303030000300103133113330000000000030100100033313300030000030300003103300300010013300333001033130300130033000000100300330003300001000033330100000030000000303000003133003001300033300100300003101030003300310000301010100303000003030100033100300103000330100030030300103130000111031303300300300003010330300003331300013000010100303000303100031310000000013333333033130000300301010030011030033300010330113003303300030333010300000011033330330001130133003030003013303300001330003303000300030000300103110310300000013130003010011333003031003030003300000131300000030000030110030300000000000003003110033303303100003011330133000033030310003003303000000000300003330333130310001003030000000330030330300100000030100300000300000000101030011031000133300000130003030031103333003010030001300003000003001100000100300000100103030003000130100110013103003303031130310013000030030030001010030010130300031300000010310113330303000001333030000003013130301333001133030303331110300333000330000001030303000303330030101033333300310330003031000300111000003001013013031103311003310003013030000003330000000031330031103030100003300300011100300000030300100003001333010301000030000000001000330000300003001010030313130003100031103011000003330300301000130013030030033330001000013033130103001010030000031300303000333131030003333100033000013300100000010300003000300303333330000300000310111033033010110303030030003300000000100000033031003000001310000003300310100303030313103001130000000010031301301303030130013303033003303300330310003310030003033301330003300001301101303100001330030001300003003000003313311333000000003000000333000113000013100000330303130003030,157,3071,177.0
